Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Cuci Helm Klin & Fresh,CV Tri Karya Mandiri,Mesin Cuci Helm,Kemitraan,"13,5jt",Jl.Letjen Sarbini No.2A Bekasi,021-99619471/95611567/93830875,,,,
Alfamart,PT Sumber Alfaria Trijaya,Retail Minimarket,Franchise,n/a,Jl.MH Thamrin No.9 Cikokol Tangerang,021-55755966,,,,
Lebanese Kebab,Lebanese Kebab,F&B,BO,15-35jt,Jl. Gampit 1 Pondok Gede Jatiwaringin,021-84971542,,,,
Ice Berry,PT Izzati Kita Indonesia,Juice,Franchise,5jt,Perum Bojong Depok Baru II Blok CU No.3 Cibinong,021-8756041,,,,
Susu Oke,UD Suka Cita,Milk Station,BO,Rp. 200jt,Jl.Baru Teluk Betung No.19 Bekasi Barat,021-88962687,,,,
Bikemart,Taman Nusantara Motor,Distribusi Spare Parts & Variasi Sepeda Motor,Grosir,n/a,Jl.S Parman No.206 Purwokerto 53141,0281-9288866,,,,
Balon Udara,Balon Udara Franchise Shop,F&B,Franchise,n/a,Jl. Dr Makaliwe I/9 grogol Jakarta Barat 11450,021-5636838,,,,
Justmine Pisang Ijo,CV Ezka Diga Pratama,F&B,Franchise,10-55jt,Ruko Metro Indah Mall Jl. Soekarno Hatta Blk C No.6 Bandung,022-777868855/77,,,,
Nasi D’Bakar Ala Sari Roso,CV Agung Samapta Indonesia,F&B,BO,15-88jt,Jl. Keputih Permai 1 No.3 Sukolilo Surabaya,031-72750919,,,,
Mr Kinclong,CV Karunia Sang Pencipta,Laundry,BO,35jt,Solo,0271-5862002,,,,
Healthy Helm,Healthy Helm,Laundry,BO,n/a,Jl.Fatmawati Raya Ruko Fatmawati Mas No.112 Jakarta,021-99995808,,,,
Hara Crepes,CV Java Meia Food,F&B,Franchise,7-8jt,Taman Royal I Jl. Mahoni 11 Tanah Tinggi Tangerang banten,021-91347774,,,,
Fast Clean Helmet,PT Miracle Arthavest Brokerage,Jasa Laundy helm,Franchise,"2,5jt",Jl.H. Juanda No.99 Arteri Depok,021-91214198,,,,
Bakso Kepala Sapi,PT MM Food and BV,F&B,Franchise,n/a,Mananggal V/4 - Surabaya,031-8283474,,,,
Blueray Shop,Blueray Technology,Elektronik,Mitra,15-29jt,Jl.Ruko Mangga Dua Square Blok E30 Jl. Gunung Sahari Raya,021-62318488,,,,
Bakmi GILA,Bakmi GILA,Restoran,Franchise,125jt,Ruko Pesona Khayangan Mungil Blok A No.12 Jl. Terusan Sentosa Raya - Depok,021-83920077,,,,
FOX,PT Putra Dwi Mukti,Penjualan Sepatu Hujan,BO,Rp. 30-50jt,Jl.Cikuputera 115A Bandung,022-2504666,,,,
CV Kubus,CV Agni Biru,Internet & Games Online,Franchise,Rp. 250jt,Jl.Setiabudi No.206C Bandung,022-2041190,,,,
Top Voucher Hotel,Top Tours & Travel,Jasa,Franchise,,Jl.Rajawali 185 Rewin-Waru Sidoarjo,031-8662785/031-71375051,"Rp. 7,5jt",,,
Warung Bakso Mandiri,PT Nugroho Ardanareswari,F&B,BO,7jt,Jl. Kebon Pedes No.58 Bogor,0251-8376809,,,,
De Boliva,PT Boliva,F&B,Franchise,100-600jt,Jl. Dharmahusada Utara I/6 Surabaya,031-5963202,,,,
NAD’S Kebab & Sisha Crepes,NAD’S Kebab & Sisha Crepes,Makanan,Kemitraan,"7,5-10jt",Jl. Aksi No.21 Kyai Mas Mansyur Tanah Abang - Jakarta,n/a,,,,
Martabak Alim,Martabak Alim,F&B,Franchise,125jt,Villa Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Anis Bakery,CV. Netsia,F&B,Franchise,60jt,Jl. Langsep Raya no.32 Jember Jawa Timur,0331-427085,,,,
Royal Crepes,CV Tiga Bintang Sejati,Crepes,Franchise,"6,5-12jt",Jl. Taman Holif Indah F3 No.4 Bandung,022-6070481,,,,
Mandiri Tour & Travel,PT Taufan Bagus Mandiri,Travel,BO,,Jl.RS Sukanto No.45 Duren Sawit Jakarta,021-86612596/98,n/a,,,
Pothat,CV Brahmansa Indonesia,Minuman teh Herbal,BO,"7,5jt",Metrotrade Center Kav B.36 J/ Soekarno-Hatta 590 Bandung,022-91333406,,,,
Taruna Nusantara Motor,Dian Automach,Auto,Franchise,50-250jt,Jl.Raya Larangan Barat Brebes,0281-621505,,,,
Kedai Sambal,CV Kedai Sambal,F&B,BO,10-35jt,Dukuh Kupang 25 No.38 Surabaya,031-5615285,,,,
Edola Burger,Edola Burger,F&B,Franchise,"4,5jt",Jl. Malaka Raya No.8 Perumnas Klender Jakarta Timur,021-98119207,,,,
Lick Me,PT Synergy Kinetics Indonesia,F&B,Franchise,n/a,Sampoerna Strategic Square Tower B19/7 Jl. Jend. Sudirman kav 45-47 Jakarta,021-5750420/6245094,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
Mini Cafe Ellina Resto,CV Ellino Group,F&B,BO,55jt,Deni Kerto RT01/07 Saroharjo ngalik Sleman Jogyakarta,0274-7145900,,,,
TIKI,CV Titipan Kilat,Jasa Pengiriman,Agen,n/a,Jl.Tomang Raya No.11 Jakarta,021-5665262,,,,
Carroza,Sumara Cemerlang,Manufacturing,Franchise,138jt,Jl.Nusantara Timur Kav D45 Sunter Jakarta,021-65832211,,,,
Photo n Print,Photo n Print,"Studio Box, Photo Box, Photo Kios",BO,n/a,Jl.Hi-tech Mall Lantai I/B 21 Kusuma Bangsa 116-118 Surabaya,031-5467456/031-5016088,,,,
LP3I Course Center,PT Lentera Pendidikan & Pengembangan Profesi Indonesia,Pendidikan,Franchise,500-750jt,Gedung Sentra Kramat Blok B5 Jl.Kramat Raya No.7-9 Jakarta,021-3902873,,,,
Global Phone,PT Global Media Inforindo,IT dan Komunikasi,Franchise,110jt,Jl.Rukan Plais De Paris Jl. Boulevard Raya Blok H No.16 Cikarang,021-89971827,,,,
Sop Ikan Batam,PT Sop Ikan Batam,F&B,Franchise,100jt,Jl. Boulevard Raya Ruko Incoval Blok B No.7-8 lt.4,021-45851072,,,,
Cireng Isi Kodjo,CV Sakura Kreasi Mandiri,Perdagangan Umum,BO,"1,5-10jt",Jl.Paledang No.77a Bandung,022-91686130,,,,
Salmah Salon Muslimah,Salmah Salon Muslimah,Kesehatan,BO,n/a,"Ruko Salmah, Jl. Tole Iskandar 37B - Depok",021-77822506,,,,
Martabak Bangka Yanto,Martabak Bangka Yanto,F&B,Kemitraan,n/a,Jl. Pulogebang RT04/04 No.34 Cakung Jakarta,021-96769990,,,,
Klender Burger,PT Global Sera Lestari,F&B,BO,80jt,Jl. Buaran Raya Taman Buaran Indah No.19 Klender Jakarta,021-8620886,,,,
Healthy Helm,Healthy Helm,Laundry,BO,n/a,Jl.Fatmawati Raya Ruko Fatmawati Mas No.112 Jakarta,021-99995808,,,,
Pelangi Bakmi,Pelangi Bakmi,F&B,BO,n/a,Jl. Malaka Baru No.4A Pondok Kopi - Jakarta,021-8602255,,,,
Annabella Indonesia,Annabella Indonesia,Kecantikan,BO,80-90jt,Puri Kencana Timur No.47 Jakarta,021-80740061,,,,
Mie Yamie,Mie Yamie Indonesia,Makanan,Franchise,20jt,Jl. Danau Mahalona D1 No.47 Bendungan Hilir Jakarta,0812-8863793,,,,
Otto Bento,n/a,Makanan,BO,"9,8-250jt",Griya Bogor Raya Blok 57 No.3A,0251-8359539,,,,
Pisang Ijo Aladin,CV Erri & Partners,Makanan Pisang kopi rasa buah,BO,6jt,Jl. Cibodas Baru No.13 antapani - Bandung,022-92718835,,,,
Holcim,PT Holcim Indonesia,Pusat Pelayanan untuk Membangun Rumah,Franchise,Rp. n/a,Menara Jamsostek Lt.14 Menara Utara Jl. Jend. Gatot Subroto Kav.38 Jakarta,021-52962011,,,,
Kebab Madina,Kebab Madina,Makanan,BO,10-25jt,Perum Pesona Salsabila Blok F1 Jl. Wates KM9 Parengdawe Balecatur Gamping asleman Yogyakarta,0274-6648661,,,,
Tahu Bulat Tunk & Mendoan,CV HWK Media Utama,F&B,BO,"7,5jt",Jl.Ciumbuleuit No.73 Bandung,022-91930550,,,,
Kincling & Gesit Laundry Kiloan,PT Mandiri,Laundry,BO,80jt,Karawang Barat,0267-8455033,,,,
Beef Rush,PT Konsep Citra Rasa Nusantara,F&B,BO,3 Milyar,Taman Duta Mas Blok B8 No.5 Jelambar - Jakarta,021-5675255,,,,
Black Canyon Coffee Indonesia,PT Boga Citra Cemerlang,Resto & Cafe,Franchise,"2,5 Milyar",Jl. Danau Bratan Raya No.12 Taman Griya Jimbaran Bali,0361-7807929,,,,
Parpica Arena Bermain Keluarga,PT Adimas Tristar Abadi,Entertainment,BO,n/a,Pusat Grosir Cililitan (PGC-2) Lt.3A no.630 Jl. Mayjen Sutoyo no.76 Jakarta,021-30019800,,,,
Sinergi Aerobic & Fitness Center,PT Sinergi Fitness Indonesia,Kesehatan,BO,"99,8jt",Jl.Tendean Plaza Jl. Kapten Tendean No.45 Mampang,021-68101143,,,,
Net Ezy,PT Net Ezy Internasional,Internet Café & Game Station,Franchise,300jt,Komp. Gajah Mada Mediterania Blok D16 Lt.3 Jl. Gajah Mada 17Y Jakarta,021-6336880,,,,
Salon Johnny Andrean,Salon Johnny Andrean,Kecantikan,Franchise,N/A,Jl.Jl. Meruya Selatan No.66 Jakarta,021-5859545,,,,
Roti Boy,PT Roti Boy Bakes Indonesia,F&B,Franchise,n/a,Mall Taman Anggrek Ground Floor E1 Jl. S. Parman Jakarta,021-5639993,,,,
Jari Pintar Aritmatika,CV Jari Pintar Indonesia,Pendidikan,Franchise,n/a,Jl.Bratasena IV BC1/17 Reni Jaya Pamulang Tangerang Selatan,021-71329050/021-92158466,,,,
Photo n Print,Photo n Print,"Studio Box, Photo Box, Photo Kios",BO,n/a,Jl.Hi-tech Mall Lantai I/B 21 Kusuma Bangsa 116-118 Surabaya,031-5467456/031-5016088,,,,
Nasi Bakar Ku Suka,CV Indo Nusantara,F&B,BO,7jt,Jl. Ki Hajar Dewantara 12D Jombang Jawa Timur,N/A,,,,
Direct English,PT Pasific Educom,Pendidikan,Franchise,n/a,World Trade Center 10th Floor Jl. Jend Sudirman kav 29-31 Jakarta,021-5371163,,,,
Alphanet,PT Alpha Multi Media Teknologi,IT,BO,9-13jt,Jl.Raya Jati Asih No.375 Ranting ATM BCA Pemda Jati Asih,021-92699236,,,,
Sheik Kebab,Sheik KEbab,F&B,BO,"27,5-65jt",Jl. Karang Tengah 1 No.4A Lebak Bulus Jakarta,021-94374345,,,,
Daily Bread Bakery Cake,PT Adirasa Selaras Abadi,F&B,Franchise,n/a,Jl. Lintang Raya Blok E No.6 Kawasan Industri Sentul atauPlaza Golden Fatmawati E.32 Jl. RS Fatmawati No.15,021-87914490,,,,
Dawet Cah Banjar,Jawarafizta,Dawet,Franchise,6-40jt,Jl. Perjuangan Ruko Tasbih PP No.9 Medan,061-8211307,,,,
Bakmi-Mie Kita,PT System Waralaba Bakmie Mie Kita,F&B,Franchise,Rp.77jt-215jt,Jl. Teratai 12 Blok D.20 No.2ª Perum Taman Cibodas - tangerang,021-98213194,,,,
Porvous,PT Adila Imperium,Kecantikan,Franchise,200jt,Jl.Galaksi Bumi Permai No.23A Surabaya,031-72313919,,,,
Bridal Johnny Andrean,Bridal Johnny Andrean,Fashion,Franchise,n/a,Jl.Meruya selatan No.66 Surabaya,021-5859545,,,,
Citra,CV Citra Asri Karya Mandiri,Retail Counter HP,BO,Rp. 2 jt,Jl.KH Hasyim Ashari No.1 Laterban Nganjuk Jawa Timur,0358-554146,,,,
Jamur Crispy,CV HWK Media Utama,F&B,BO,5-7 jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas 31 Bandung,022-91930550,,,,
Bakso Sehat Atom,CV Atom Indonesia,Bakso,Kemitraan,30jt,Jl. Ir H Juanda No.1 Ciputat,021-70913966,,,,
GAFA,GAFA,Kursus Baca Tulis,Kemitraan,33 jt,Jl.Tebet Barat Dalam No.76ª Tebet Jakarta,021-83705977,,,,
Krisana Tea House,Krisana Tea House,F&B,Franchise,"5,5-15jt",Jl.GM Situt No.58 Singkawang Kalimantan Barat,0562-631497,,,,
Gelato Bar,PT Selera Sukses Mandiri,F&B,Franchise,1 Milyar,Dharmawangsa Square JL. Dharmawangsa 6&9 Lt. Dasar Unit 36-37 Jakarta Selatan,021-72788315,,,,
Teh Gopek,PT Teh Gopek Cipta Utama,Teh,BO,n/a,Jl. Kapten Piere Tandean No.5 Slawi,0283-491435,,,,
Ayam Bebek Sambel Bledeg ”Cak Tri”,Ayam Bebek Sambel Bledeg ”Cak Tri”,F&B,BO,20-40jt,Komp. Bulog Jl. Yanatera 14 no.28 Jatiwarna Pondok Gede Bekasi,021-93846527,,,,
Kaisa Rossie Perjalanan Wisata,Kaisa Rossie Perjalanan Wisata,Travel,Franchise,n/a,Jl.Cendrawasih No.17 C-D Semarang,024-3559678,,,,
Taruna Nusantara Motor,Dian Automach,Auto,Franchise,50-250jt,Jl.Raya Larangan Barat Brebes,0281-621505,,,,
Klin n Fress,CV Elang Nusantara,Salon Helm,Kemitraan,"4,5jt",Jl.Pertengahan No.2 RT05/03 Cijantung Ps. Rebo Jakarta,021-92720819,,,,
Gazzaz Kebab,CV Gazzaa,Makanan,Franchise/BO,45jt,JL. Daud No.42 Kebun Jeruk - Jakarta,021-5321972,,,,
NAD’S Kebab & Sisha Crepes,NAD’S Kebab & Sisha Crepes,Makanan,Kemitraan,"7,5-10jt",Jl. Aksi No.21 Kyai Mas Mansyur Tanah Abang - Jakarta,n/a,,,,
Texas Chicken,PT Cipta Selera Murni,Restaurant,Franchise,n/a,Jl. Cikini Raya No.60A Jakarta,021-3905885,,,,
Preztissimo Laundry Lab,Preztissimo Laundry Lab,Jasa Peralatan Pakaian,Franchise,175-280jt,Jl.Perumnas Blok A/6C Seturan,0274-8222252,,,,
Singkong Keju Katrocker,PT Karunia,Makanan,Franchise,10-20jt,Jl. Pahlawan No.8A Banjarmasin,0511-7640737,,,,
Interaktif Komputer,Interaktif Komputer,Pendidikan,BO,85jt,Jl.Bromo 18 Malang,0341-323751,,,,
Martabak Bolu,CV Mitra Niaga Mandiri,Makanan,BO,20-35jt,Jl. Abdul Majid No.24,021-7264415,,,,
Tahu Bule,CV HWK Media Utama,F&B,BO,5-7jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas No.31 Bandung,022-91930550,,,,
Aixin Mandarin,Aixin Mandarin,Pendidikan,Franchise,30-90jt,Jl.Janur Elok 10 Blok Q6-9 No.21 Kelapa Gading Bekasi,021-4528728,,,,
Ruzika Moslem,Ruzika Moslem,Pakaian Muslim,BO,Rp. 10jt,Jl.Rajawali II/5 Kranggan Permai Bekasi,0811-884552,,,,
Mr Pea,PT Gempita Muda Indonesia,F&B,Franchise,5jt,Jl. RM Kahfi 1 No.33 Ciganjur Jakarta 12630,021-27444555,,,,
Holcim,PT Holcim Indonesia,Pusat Pelayanan untuk Membangun Rumah,Franchise,Rp. n/a,Menara Jamsostek Lt.14 Menara Utara Jl. Jend. Gatot Subroto Kav.38 Jakarta,021-52962011,,,,
Goodel Coffee & Burger,CV Citra Muda Berlian,F&B,BO,7jt,Jl.Gempol Kramat Watu No.54 Serang Banten,0254-230411,,,,
Taruna Nusantara Motor,Dian Automach,Auto,Franchise,50-250jt,Jl.Raya Larangan Barat Brebes,0281-621505,,,,
Tahu Ikan Tuna,K Food,F&B,BO,"2,5jt",Jl. Diponegoro No.12 Jetis Ponorogo Jawa Timur,0813-35668077,,,,
Pempek Patrol,PT Gagasan Cemerlang Indonesia,Kuliner,BO,8-15jt,Plaza Niaga I Sentul City,021-87961080,,,,
Corner Kebab,CV Universal Info Excomindo,F&B,Franchise,15-20jt,Komp. Ruko Ogie Plaza Blok A/02 Jl. Siliwangi No.8 Pondok Benda Pamulang Tangerang Banten,021-7493969/91309309,,,,
Tiara Distro,Tiara Corporation,Fashion Muslimah,BO,Rp. 35 jt,Braga Plaza Jl. Braga Blok A6 No.5-11 Bandung,022-92535753,,,,
Pempek Royal,Kebab Kings Group,F&B,BO,10jt,Pondok Maritim Indah Blok QQ No.15 Kebraon Surabaya,031-72377222,,,,
Salon Johnny Andrean,Salon Johnny Andrean,Kecantikan,Franchise,N/A,Jl.Jl. Meruya Selatan No.66 Jakarta,021-5859545,,,,
Annabella Indonesia,Annabella Indonesia,Kecantikan,BO,80-90jt,Puri Kencana Timur No.47 Jakarta,021-80740061,,,,
Pisang Goreng Planet Krispy Kreme,Pisang Goreng Planet Krispy Kreme,F&B,Franchise,n/a,Jl. Babarsari No.23 BBC Plaza Yogjakarta,0274-497694,,,,
Oasis Reload,CV Dedayu Opus Maxima,Pengisian Pulsa Elektrik all operator,Franchise,30jt,Ruko Soekarno Hatta Permai Jl. Soekarno Hatta No.2 Kav 7 Malang,0341-402442/8194789,,,,
Happy Tea,CV Arashi Sukses Sejahtera,teh,Franchise,"3-5,5jt",Jl. Tebet Raya No.28 Jakarta,021-92296428,,,,
Bakso Mata Dewa,PT Rajawaralaba,F&B,BO,100jt,Ruko Bumi Satria Kencana Blok B No.4 Jl. Raya Kalimalang Bekasi,021-88952042,,,,
Ayam Bakar Pondok As Salam,CV Duta Mandiri Indonesia,F/B,n/a,15jt,Jl. Anggrek Raya No.20 Bumi Malaka,081310301665,,,,
Aning’s Beauty & Health,PT Mahkota Dewa,Kecantikan dan KEsehatan,BO,5-10jt,Jl.Baharu AA No.1 Nyiur Melambai II Rawa Badak Utara Kodja Jakarta Utara,021-4302762,,,,
Ayam Goreng Mbok Berek Ny Umi,PT Weiling Simba Wulung,F&B,Franchise,400jt,Jl. Prof Dr. Sutomo SH.14 Jakarta,021-8312921,,,,
Kidzwear,Kidzwear,Grosir Baju Anak,BO,Rp. 2-7jt,ITC Kuningan Lt.4 Blok C6 No.3 Jl. Dr Satrio Casablanca Jakarta Selatan,021-26141136,,,,
Bobby Steak,PT Sushantco Indonesia,F&B,Franchise,207-347jt,Jl. Tanjung Duren Utara No.464 Grogol Petamburan – Jakarta,021-5670081,,,,
TaboeBoe Tahu Bulat Bumbu,CV Sakura Kreasi Mandiri,Perdagangan Umum,BO,2-5jt,Pl. Paledang No.77A Bandung,022-91686130/022-91313745,,,,
Plasa Soto Nusantara,PT Anugrah Amal Citra Bogatama,Resto Soto,Franchise,300-500jt,Jl. Kasah No.35 Pekanbaru,0761-7046121,,,,
Super Bimbel GSC,PT Gema Sukses Cemerlang,Bimbel,Franchise,350-400jt,Jl.R. Sukamto No.3150-3151 Palembang,0711-821514,,,,
Toga Mas,Toga Mas,Toko Buku,Franchise,Rp. n/a,Jl.Raya Dieng No.27A-2 Malang,0341-565672/3,,,,
Red Bean,PT Red Bean Indonesia,Restaurant Family Chinese Food,Franchise,"1,1M",Jl. Surya Utama I Blok E/18 Kedoya – Jakarta,021-5817133-34,,,,
Quality Punch,PT Goldeng Ming Indonesia,Minuman,BO,50jt,Jl. Haji Saaba No.27 Meruya Selatan,021-58906463,,,,
Gujahe,Indonesia Export Produk,Distribution,Kemitraan,n/a,Komplek PD Safari Indah JL. Soka Blok D22 No.8 Pd. Aren Tangerang,021-23986886,,,,
Interaktif Komputer,Interaktif Komputer,Pendidikan,BO,85jt,Jl.Bromo 18 Malang,0341-323751,,,,
Busana Muslim Attaqi,Busana Muslim Attaqi,Fashion Retail,Keagenan,"Rp. 1,5jt",Jl.Mulyosari Tengah 8 No.2ª Surabaya,031-60106556,,,,
Klender Burger,PT Global Sera Lestari,F&B,BO,80jt,Jl. Buaran Raya Taman Buaran Indah No.19 Klender Jakarta,021-8620886,,,,
Martabak Asia,Asia Sunrice Sinda,F&B,Franchise,n/a,Jl. Merkuri No.17 Bandung,022-7561868,,,,
De-Excellence,De-Excellence,Bimbel,BO,400jt,Jl.Sangkuriang No.79 Cimahi,022-6626911,,,,
Sehat Terapy,PT Dwi Tunggal Jaya Raya,Kesehatan,Franchise,25jt,Ruko Graha Pejaten Raya N0.51 Jakarta Selatan,021-79197317,,,,
MK Express,PT Megantara Kargo,Jasa Kurir,Franchise,25jt,Jl.Pintu I Senayan Blok B 2nd F1 Room 23. Jakarta,021-70919914,,,,
Londre,PT Italindo Citra Modern,Laundry,Franchise,n/a,Jl.Pondok Lebak Bulus No.47 Jakarta,021-7655312,,,,
Ayam Bakar Lari-lari,Ayam Bakar lari-lari,Makanan,BO,Rp. 5jt,Masjid An Nur No.24 Menteng Dalam - Jakarta,021-99623352,,,,
Softcase Laptop Icainu,Icainu,Kerajinan Usaha Aksesoris Komputer,BO,Rp. 5jt,Perumahan Barata Jl. Barata tama II No.143 Kec.Karang Tengah Kel.Ciledug Tangerang,0856-8555152/021-99552815,,,,
Roy Weston,PT. Roy Weston Indonesia,Property,Franchise,250-300jt,Komp. Permata Senayan Unit E no. 56-60  Jl. Tentara Pelajar-Jakarta,021-7372985,,,,
Sweet Purple,Giri Mulia,Makanan & Minuman Olahan Ubi Jalar,BO,20-100jt,Pusat Jajanan K IX bintaro Sektor IX,021-74700001,,,,
ESL Express,PT Eka Sari Lorena,Jasa Pengiriman express kurir & kargo service,BO,15-20jt,Jl.RA Kartini No.16 Cilandak Jakarta,021-75910023/7506655,,,,
Ayam Goreng Mbok Berek Ny Umi,PT Weiling Simba Wulung,F&B,Franchise,400jt,Jl. Prof Dr. Sutomo SH.14 Jakarta,021-8312921,,,,
3D Photo Printing & Painting,PT Gambar Ajaib Indonesia,Photography,BO,35-59jt,Jl.Kelapa Nias Raya Blok GN NO.1-2 Kelapa Gading Jakarta Utara,021-4514539,,,,
Master Toner,PT Master Ssentra Nusa Cemerlang,Refill Tinta Toner & Service Komputer,Franchise,50-350jt,Jl.Surya Kencana No.9-10 Pamulang Tangerang Selatan Banten,n/a,,,,
Tela-tela,CV Elfa Indoboga,Makanan,Franchise,n/a,Tambak Bayan III No.12 Yogyakarta,0274-489654,,,,
Ruthesal Herbs & Spa,Ruthesal Herbs & Spa,Kesehatan,BO,N/A,Jl.Perum Karang Jati Indah II Blok A No.7 Bantul Yogyakarta,0274-413330,,,,
De Ressiq Laundry Kiloan,De Ressiq Laundry Kiloan,Laundry,Kemitraan,n/a,Jl.Tatya Asri Blok OA No.09 Cibinong,021-32093745,,,,
Madu Bu Rehani,CV Jaya Sekawan Abadi,Madu,Keagenan,Rp. 300-500rb,Jl.Wonorejo Timur No.45 Surabaya,031-8720295,,,,
LBB IPIEMS,PT Bhakti Karya Persada,Pendidikan,Franchise,n/a,Jl.Semawis Raya A18-19 Kampung Semawis Kedung Mundu Semarang,024-76740101,,,,
Kincling & Gesit Laundry Kiloan,PT Mandiri,Laundry,BO,80jt,Karawang Barat,0267-8455033,,,,
Bakso Gepeng Rawamangun,Bakso Gepeng Rawamangun,Food & Resto,Franchise,Rp.20jt - 40jt,Puri Gading Blok B6 No.5 Jatiwarna – Bekasi,021- 99661156,,,,
Ayam Pakuan,CV Putra Berdikari,F&B,BO,Rp.35jt - Rp.150jt,Perum Taman Kenari Blok A5 No.25 Bogor - Jabar,0251-8420475,,,,
Pronic,PT Pronic Indonesia,Produk Organic,Franchise,n/a,Jl. Kebon Jeruk Baru Blok B3 No.18 Jakarta,n/a,,,,
Bakso Kepala Sapi Jawa,Nareswari Group,F&B,Franchise,n/a,Jl. Raya Kebon Pees No.58 - Bogor,0251-8376809,,,,
Mie Ayam T’ras,T’RAS GR,Mie,Kemitraan,15jt,Jl. Melati 53 Nanggulan Sambilegi Jogyakarta,N/A,,,,
Java Star,PT Java Star,Tour & Travel,Franchise,,Jl.Titian No.7 Lt.2 Bandung,022-2531318,Rp. 100jt - Rp. 250jt,,,
Aning’s Beauty & Health,PT Mahkota Dewa,Kecantikan dan KEsehatan,BO,5-10jt,Jl.Baharu AA No.1 Nyiur Melambai II Rawa Badak Utara Kodja Jakarta Utara,021-4302762,,,,
FOX,PT Putra Dwi Mukti,Penjualan Sepatu Hujan,BO,Rp. 30-50jt,Jl.Cikuputera 115A Bandung,022-2504666,,,,
Alfamart,PT Sumber Alfaria Trijaya,Retail Minimarket,Franchise,n/a,Jl.MH Thamrin No.9 Cikokol Tangerang,021-55755966,,,,
Lesehan Alam Sejuk,CV Imam Brothers,F&B,BO,n/a,Jl. Terusan Kapten Halim No.38 Jl. Raya Wanayasa Pondok Salam Purwakarta,0264-8223517,,,,
Super Kids,PT Eka Kolese Indonesia Australia,Preschool,Network,60jt,Jl.Kemang Timur No.90 Jakarta Selatan,021-71792880,,,,
Tralala Baby & Kids World,Tiga Jaya Semesta,Retail,BO,Rp. 300-550jt,Jl.Mojopahit 148 Mojokerto,0321-390541,,,,
Dr - Inkjet,JPG Technology,Inkjet Refill Center,BO,10jt,Jl.Pondok Mas Raya No.12 & 28 Baros Cimahi,022-6629863,,,,
Snappy,PT Mitra Waralaba Sukses,Bisnis Center,Franchise,n/a,Jl.Gandaria 1 No.5 Kebayoran Baru Jakarta,021-7268686,,,,
Spot Bordir Franchise,JPG Technology,n/a,BO,"12,5-200jt",Jl.Pondok Mas Raya Ruko No.12-28 Baros Cimahi Bandung,022-662986,,,,
Restaurant khas Sunda & Hidangan Laut Mang kabayan,PT Sumber Pangan Lestari,F&B,Franchise,"1,5M",Jl. Alternatif Km1 Cibubur - Depok,021-84599424,,,,
Sweets & Sour Shaved Ice,Sweets & Sour Shaved Ice,F&B,Franchise,25-100jt,Komp. Green Garden H2 No.11 Jakarta,021-5822076,,,,
Singkong Keju Katrocker,PT Karunia,Makanan,Franchise,10-20jt,Jl. Pahlawan No.8A Banjarmasin,0511-7640737,,,,
Pothat,CV Brahmansa Indonesia,Minuman teh Herbal,BO,"7,5jt",Metrotrade Center Kav B.36 J/ Soekarno-Hatta 590 Bandung,022-91333406,,,,
Robota Robotics School,PT Robota Indonesia,Pendidikan,Franchise,171jt,Ruko BHS Jl. DR Rajiman 289/4 Surakarta,0271-74178,,,,
3D Baby Print,PT Tata Cipta Mega Pelangi,Baby Merchandise,BO,38jt,n/a,021-47882918,,,,
LP3I Course Center,PT Lentera Pendidikan & Pengembangan Profesi Indonesia,Pendidikan,Franchise,500-750jt,Gedung Sentra Kramat Blok B5 Jl.Kramat Raya No.7-9 Jakarta,021-3902873,,,,
Robotics,Robotics Education Center,Pendidikan,BO,150-200jt,Ruko Gading Bukit Indah Blok O No.10 Kelapa Gading Jakarta,021-45852473,,,,
Viobrano,Viobrano,Pembuatan Logo & PErcetakan,Perorangan,250jt,Jl.Gunung Sahari Indah Y2I - Surabaya,031-767468,,,,
Phas Martabak,Phas Martabak,F&B,Franchise,14-85jt,Jl. Cirendeu Raya No.1,021-26328219,,,,
Da’im Donut,Da’im Donut,F&B,BO,n/a,Jl. Kaliurang KM10 Gondangan Ngalik – Jogjakarta,0274-3042288,,,,
Beanstock Coffee and Tea,PT Adi Tata Nusindo,Kedai Kopi,BO,195jt,Bina Sentra Abiyasa Lt.4 Suite 404 & 405 Jl. Gatot Subroto Kav 71-73 Pancoran,021-8305611,,,,
Dressed Laundry,PT Pro Teknologi,Laundry & Cleaning Service,Franchise,please call,"Jl. Senayan Bintaro Blok HJ3 No.2, Sektor IX, Bintaro Jaya, Tangerang - Jakarta",081283066111; 021-91371181 (cp. Dedi Setiadi),,,,
Fruit Coffee Ala’din,Fruit Coffee Ala’din,F&B,Franchise,"7,5jt",Jl. Cibodas Baru No.13 Antapani - Bandung,022-92718835/92718836,,,,
Rebel Gym,Rebel Gym,Fitness Center,Franchise,150jt-1M,Jl.Surya Sumantri 18 Bandung,022-2003752,,,,
